ProteinID,GeneName,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
COT2,NR2F2,0.8100925873009824,0.4178869643175006,0.1811422093273679,0.570431820186614,0.0596571454273192,-0.2849538628936712
RM55,MRPL55,0.8315218406202999,0.4056788952850529,0.1859339360402736,0.5551945706091833,1.0166839195758262,0.5916107092505617
FUND2,FUNDC2,0.8315218406202999,0.4056788952850529,0.1859339360402736,0.5551945706091833,0.0018300586233859,-1.0030752182755711
NFRKB,NFRKB,0.8315218406202999,0.4056788952850529,0.1859339360402736,0.5551945706091833,0.1534919861534098,-0.3341632253245002
RA51C,RAD51C,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,-0.01007826107179,-0.9385303738936605
NVL,NVL,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,0.1160263579310045,-0.4217110222104564
MED10,MED10,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,0.0303895247651021,-0.4043264299662811
HSP76,HSPA6,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,0.7161673948483591,0.3002894337460765
CIB1,CIB1,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,0.0294217704939611,-0.9304220834490194
A0A087WZM2,RNASET2,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,0.2495887747907281,-0.7869909055528667
A0A0D9SGH0,SLC9A6,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,0.3741391242829191,-0.1609919554473509
GBP3,GBP3,0.8388704928078611,0.4015419876158449,0.1875771446237125,0.5551945706091833,-0.0202212105175545,-0.8974136203361728
LEG9,LGALS9,0.8571428571428571,0.3913659383075519,0.1916629694999819,0.5551945706091833,0.3580646645938159,-0.0991238272496769
CYB5B,CYB5B,0.8660254037844386,0.3864762307712327,0.1936491673103708,0.5546456176743907,0.6061576773980353,-0.2020596306426863
CNKR1,CNKSR1,0.8660254037844386,0.3864762307712327,0.1936491673103708,0.5546456176743907,-0.6485111704461801,-4.924462752692291
TEFM,TEFM,0.8660254037844386,0.3864762307712327,0.1936491673103708,0.5546456176743907,0.8544381791188176,-0.1919149532608424
TLE1,TLE1,0.8660254037844386,0.3864762307712327,0.1936491673103708,0.5546456176743907,0.1066114636880389,-0.3726759975204618
IL32,IL32,0.8931977372352652,0.3717512896455607,0.1997250857807048,0.5408217391829938,0.3792250979086723,-0.0994595998617246
GLI2,GLI2,0.903696114115064,0.3661565601940605,0.202072594216369,0.5341459710523245,-0.1533300963868927,-0.5456815514303487
NLE1,NLE1,0.9071147352221454,0.3643461266335529,0.2028370211348439,0.5329691273895774,0.1329603765591736,-0.5686730593080498
AL1A3,ALDH1A3,0.9071147352221454,0.3643461266335529,0.2028370211348439,0.5329691273895774,0.1194549480501522,-1.115055709802839
H0Y4G9,MYD88,0.9071147352221454,0.3643461266335529,0.2028370211348439,0.5329691273895774,0.1632278200716095,-0.887771497946515
ZCHC8,ZCCHC8,0.9071147352221454,0.3643461266335529,0.2028370211348439,0.5329691273895774,0.5549417245554558,-0.1540193675981708
ODPB,PDHB,0.9071147352221454,0.3643461266335529,0.2028370211348439,0.5329691273895774,-0.2416236077226299,-0.5378303408999329
KS6B1,RPS6KB1,0.9071147352221454,0.3643461266335529,0.2028370211348439,0.5329691273895774,1.1720865877813444,0.2796670538261961
